Id,Attrition
1,0.108
2,0.176
3,0.212
4,0.316
5,0.096
6,0.132
7,0.464
8,0.148
9,0.352
10,0.192
11,0.044
12,0.404
13,0.128
14,0.072
15,0.048
16,0.076
17,0.38
18,0.348
19,0.124
20,0.008
21,0.164
22,0.584
23,0.04
24,0.108
25,0.1
26,0.024
27,0.212
28,0.152
29,0.616
30,0.124
31,0.024
32,0.224
33,0.18
34,0.192
35,0.068
36,0.112
37,0.332
38,0.256
39,0.144
40,0.148
41,0.68
42,0.168
43,0.088
44,0.252
45,0.084
46,0.076
47,0.072
48,0.144
49,0.044
50,0.096
51,0.388
52,0.04
53,0.14
54,0.364
55,0.084
56,0.412
57,0.14
58,0.404
59,0.04
60,0.092
61,0.08
62,0.048
63,0.28
64,0.016
65,0.196
66,0.112
67,0.016
68,0.216
69,0.288
70,0.248
71,0.224
72,0.036
73,0.284
74,0.148
75,0.272
76,0.276
77,0.196
78,0.192
79,0.172
80,0.628
81,0.148
82,0.212
83,0.212
84,0.076
85,0.26
86,0.216
87,0.38
88,0.088
89,0.172
90,0.588
91,0.272
92,0.24
93,0.384
94,0.092
95,0.564
96,0.392
97,0.284
98,0.124
99,0.184
100,0.044
101,0.2
102,0.248
103,0.212
104,0.252
105,0.136
106,0.148
107,0.084
108,0.108
109,0.228
110,0.228
111,0.38
112,0.204
113,0.104
114,0.136
115,0.296
116,0.056
117,0.052
118,0.204
119,0.08
120,0.088
121,0.456
122,0.336
123,0.056
124,0.268
125,0.172
126,0.132
127,0.156
128,0.172
129,0.676
130,0.184
131,0.204
132,0.024
133,0.164
134,0.108
135,0.14
136,0.184
137,0.82
138,0.088
139,0.272
140,0.092
141,0.216
142,0.308
143,0.072
144,0.152
145,0.152
146,0.472
147,0.084
148,0.416
149,0.344
150,0.224
151,0.292
152,0.284
153,0.14
154,0.62
155,0.156
156,0.044
157,0.128
158,0.1
159,0.084
160,0.096
161,0.444
162,0.152
163,0.076
164,0.116
165,0.124
166,0.648
167,0.332
168,0.388
169,0.084
170,0.144
171,0.148
172,0.096
173,0.128
174,0.364
175,0.004
176,0.34
177,0.192
178,0.2
179,0.052
180,0.588
181,0.46
182,0.256
183,0.608
184,0.18
185,0.656
186,0.264
187,0.156
188,0.136
189,0.112
190,0.064
191,0.152
192,0.068
193,0.056
194,0.424
195,0.356
196,0.48
197,0.176
198,0.328
199,0.116
200,0.044
201,0.408
202,0.148
203,0.552
204,0.216
205,0.224
206,0.064
207,0.416
208,0.532
209,0.292
210,0.232
211,0.484
212,0.184
213,0.084
214,0.232
215,0.628
216,0.64
217,0.604
218,0.244
219,0.276
220,0.108
221,0.288
222,0.128
223,0.324
224,0.252
225,0.176
226,0.06
227,0.108
228,0.252
229,0.084
230,0.188
231,0.556
232,0.224
233,0.192
234,0.504
235,0.1
236,0.268
237,0.16
238,0.108
239,0.508
240,0.128
241,0.072
242,0.144
243,0.408
244,0.392
245,0.148
246,0.16
247,0.528
248,0.072
249,0.136
250,0.184
251,0.152
252,0.032
253,0.1
254,0.132
255,0.088
256,0.424
257,0.076
258,0.344
259,0.276
260,0.372
261,0.108
262,0.156
263,0.328
264,0.308
265,0.448
266,0.376
267,0.18
268,0.084
269,0.38
270,0.288
271,0.12
272,0.34
273,0.768
274,0.172
275,0.44
276,0.16
277,0.3
278,0.196
279,0.112
280,0.064
281,0.38
282,0.236
283,0.184
284,0.372
285,0.408
286,0.596
287,0.3
288,0.244
289,0.232
290,0.292
291,0.416
292,0.232
293,0.18
294,0.228
295,0.132
296,0.424
297,0.092
298,0.148
299,0.712
300,0.08
301,0.108
302,0.052
303,0.056
304,0.688
305,0.204
306,0.12
307,0.332
308,0.16
309,0.184
310,0.132
311,0.168
312,0.208
313,0.328
314,0.096
315,0.228
316,0.38
317,0.436
318,0.344
319,0.084
320,0.156
321,0.364
322,0.272
323,0.052
324,0.204
325,0.492
326,0.216
327,0.592
328,0.368
329,0.428
330,0.444
331,0.08
332,0.144
333,0.132
334,0.096
335,0.212
336,0.156
337,0.384
338,0.1
339,0.208
340,0.452
341,0.172
342,0.528
343,0.124
344,0.432
345,0.224
346,0.092
347,0.128
348,0.244
349,0.096
350,0.244
351,0.072
352,0.036
353,0.048
354,0.088
355,0.112
356,0.308
357,0.388
358,0.192
359,0.144
360,0.516
361,0.032
362,0.252
363,0.12
364,0.204
365,0.62
366,0.136
367,0.312
368,0.128
369,0.164
370,0.344
371,0.144
372,0.128
373,0.14
374,0.704
375,0.328
376,0.204
377,0.528
378,0.396
379,0.72
380,0.08
381,0.584
382,0.092
383,0.128
384,0.048
385,0.404
386,0.412
387,0.588
388,0.5
389,0.248
