Id,Attrition
1,0.1
2,0.2
3,0.325
4,0.125
5,0.125
6,0.15
7,0.475
8,0.25
9,0.25
10,0.15
11,0.1
12,0.325
13,0.05
14,0.125
15,0.15
16,0.2
17,0.5
18,0.425
19,0.15
20,0.025
21,0.025
22,0.65
23,0.15
24,0.025
25,0.2
26,0.1
27,0.125
28,0.125
29,0.95
30,0.125
31,0.075
32,0.175
33,0.35
34,0.45
35,0.125
36,0.15
37,0.225
38,0.225
39,0.175
40,0.375
41,0.6
42,0.225
43,0.225
44,0.2
45,0.125
46,0.125
47,0.275
48,0.35
49,0.175
50,0.225
51,0.575
52,0.075
53,0.15
54,0.625
55,0.475
56,0.375
57,0.125
58,0.525
59,0.075
60,0.325
61,0.175
62,0.175
63,0.45
64,0.075
65,0.225
66,0.2
67,0.075
68,0.05
69,0.15
70,0.075
71,0.275
72,0.075
73,0.25
74,0.175
75,0.225
76,0.65
77,0.2
78,0.15
79,0.1
80,0.55
81,0.175
82,0.5
83,0.45
84,0.125
85,0.325
86,0.15
87,0.425
88,0.2
89,0.325
90,0.45
91,0.4
92,0.25
93,0.45
94,0.175
95,0.75
96,0.425
97,0.375
98,0.125
99,0.025
100,0.1
101,0.225
102,0.175
103,0.15
104,0.225
105,0.125
106,0.175
107,0.125
108,0.175
109,0.125
110,0.15
111,0.225
112,0.325
113,0.25
114,0.25
115,0.225
116,0.125
117,0.05
118,0.125
119,0.05
120,0.15
121,0.65
122,0.3
123,0.1
124,0.5
125,0.45
126,0.15
127,0.05
128,0.425
129,0.55
130,0.3
131,0.575
132,0.025
133,0.175
134,0.225
135,0.175
136,0.225
137,0.85
138,0.15
139,0.475
140,0.125
141,0.3
142,0.35
143,0.05
144,0.15
145,0.2
146,0.45
147,0.175
148,0.45
149,0.175
150,0.475
151,0.5
152,0.5
153,0.2
154,0.925
155,0.05
156,0.1
157,0.15
158,0.15
159,0.15
160,0.25
161,0.6
162,0.15
163,0.2
164,0.05
165,0.05
166,0.325
167,0.3
168,0.4
169,0.025
170,0.2
171,0.125
172,0.225
173,0.35
174,0.475
175,0.05
176,0.325
177,0.35
178,0.3
179,0.1
180,0.675
181,0.425
182,0.175
183,0.55
184,0.2
185,0.7
186,0.25
187,0.15
188,0.125
189,0.225
190,0.15
191,0.275
192,0.125
193,0.225
194,0.425
195,0.675
196,0.575
197,0.2
198,0.25
199,0.1
200,0.175
201,0.525
202,0.275
203,0.35
204,0.375
205,0.4
206,0.125
207,0.725
208,0.2
209,0.125
210,0.275
211,0.475
212,0.15
213,0.25
214,0.25
215,0.65
216,0.95
217,0.575
218,0.25
219,0.225
220,0.25
221,0.2
222,0.25
223,0.225
224,0.475
225,0.4
226,0.025
227,0.4
228,0.275
229,0.125
230,0.225
231,0.575
232,0.3
233,0.25
234,0.575
235,0.05
236,0.3
237,0.125
238,0.175
239,0.625
240,0.1
241,0.1
242,0.15
243,0.425
244,0.725
245,0.1
246,0.125
247,0.6
248,0.125
249,0.1
250,0.1
251,0.125
252,0.0
253,0.125
254,0.175
255,0.1
256,0.625
257,0.125
258,0.35
259,0.425
260,0.375
261,0.025
262,0.15
263,0.3
264,0.325
265,0.5
266,0.425
267,0.1
268,0.05
269,0.45
270,0.15
271,0.1
272,0.275
273,0.7
274,0.425
275,0.425
276,0.25
277,0.125
278,0.225
279,0.025
280,0.075
281,0.55
282,0.275
283,0.125
284,0.25
285,0.325
286,0.675
287,0.125
288,0.275
289,0.15
290,0.15
291,0.35
292,0.2
293,0.125
294,0.225
295,0.075
296,0.575
297,0.25
298,0.25
299,0.625
300,0.275
301,0.025
302,0.125
303,0.1
304,0.625
305,0.125
306,0.075
307,0.225
308,0.1
309,0.2
310,0.175
311,0.2
312,0.475
313,0.35
314,0.225
315,0.275
316,0.35
317,0.65
318,0.25
319,0.025
320,0.375
321,0.225
322,0.25
323,0.05
324,0.15
325,0.725
326,0.2
327,0.675
328,0.625
329,0.3
330,0.45
331,0.2
332,0.3
333,0.3
334,0.275
335,0.125
336,0.125
337,0.45
338,0.275
339,0.25
340,0.6
341,0.2
342,0.8
343,0.075
344,0.5
345,0.325
346,0.425
347,0.125
348,0.375
349,0.025
350,0.2
351,0.075
352,0.125
353,0.275
354,0.225
355,0.125
356,0.525
357,0.6
358,0.2
359,0.325
360,0.425
361,0.075
362,0.2
363,0.1
364,0.35
365,0.45
366,0.3
367,0.3
368,0.15
369,0.275
370,0.55
371,0.325
372,0.2
373,0.15
374,0.6
375,0.3
376,0.35
377,0.475
378,0.3
379,0.325
380,0.025
381,0.6
382,0.175
383,0.225
384,0.1
385,0.425
386,0.55
387,0.75
388,0.55
389,0.375
390,0.575
391,0.075
392,0.05
393,0.35
394,0.25
395,0.075
396,0.2
397,0.5
398,0.175
399,0.1
400,0.075
401,0.125
402,0.05
403,0.2
404,0.225
405,0.45
406,0.2
407,0.25
408,0.575
409,0.3
410,0.125
411,0.125
412,0.125
413,0.15
414,0.175
415,0.175
416,0.025
417,0.45
418,0.25
419,0.425
420,0.05
421,0.35
422,0.425
423,0.175
424,0.325
425,0.225
426,0.125
427,0.2
428,0.1
429,0.225
430,0.325
431,0.175
432,0.15
433,0.125
434,0.1
435,0.375
436,0.125
437,0.075
438,0.075
439,0.15
440,0.1
441,0.175
442,0.2
443,0.1
444,0.125
445,0.325
446,0.15
447,0.125
448,0.425
449,0.1
450,0.175
451,0.15
452,0.075
453,0.825
454,0.275
455,0.2
456,0.25
457,0.625
458,0.55
459,0.425
460,0.125
461,0.075
462,0.225
463,0.425
464,0.55
465,0.6
466,0.5
467,0.775
468,0.35
469,0.225
470,0.2
