Id,Attrition
1,0.275
2,0.2
3,0.25
4,0.35
5,0.15
6,0.225
7,0.45
8,0.25
9,0.325
10,0.175
11,0.075
12,0.575
13,0.15
14,0.075
15,0.05
16,0.025
17,0.4
18,0.4
19,0.225
20,0.0
21,0.05
22,0.7
23,0.1
24,0.175
25,0.25
26,0.025
27,0.15
28,0.025
29,0.875
30,0.125
31,0.025
32,0.175
33,0.25
34,0.25
35,0.1
36,0.175
37,0.2
38,0.1
39,0.3
40,0.4
41,0.85
42,0.25
43,0.15
44,0.15
45,0.025
46,0.15
47,0.15
48,0.375
49,0.025
50,0.175
51,0.55
52,0.125
53,0.3
54,0.45
55,0.35
56,0.475
57,0.175
58,0.525
59,0.025
60,0.1
61,0.225
62,0.05
63,0.35
64,0.075
65,0.15
66,0.2
67,0.125
68,0.275
69,0.275
70,0.15
71,0.375
72,0.075
73,0.45
74,0.225
75,0.225
76,0.35
77,0.15
78,0.3
79,0.1
80,0.725
81,0.125
82,0.225
83,0.225
84,0.125
85,0.45
86,0.175
87,0.475
88,0.25
89,0.15
90,0.525
91,0.45
92,0.125
93,0.6
94,0.175
95,0.875
96,0.475
97,0.4
98,0.225
99,0.05
100,0.125
101,0.325
102,0.125
103,0.2
104,0.075
105,0.275
106,0.225
107,0.075
108,0.25
109,0.075
110,0.15
111,0.325
112,0.25
113,0.2
114,0.175
115,0.175
116,0.05
117,0.05
118,0.075
119,0.2
120,0.15
121,0.425
122,0.225
123,0.1
124,0.425
125,0.35
126,0.075
127,0.1
128,0.325
129,0.55
130,0.3
131,0.325
132,0.0
133,0.275
134,0.3
135,0.3
136,0.125
137,0.725
138,0.1
139,0.65
140,0.05
141,0.325
142,0.35
143,0.1
144,0.125
145,0.175
146,0.5
147,0.15
148,0.425
149,0.2
150,0.35
151,0.375
152,0.5
153,0.125
154,0.825
155,0.175
156,0.05
157,0.1
158,0.1
159,0.125
160,0.1
161,0.5
162,0.225
163,0.15
164,0.1
165,0.1
166,0.6
167,0.4
168,0.275
169,0.075
170,0.15
171,0.125
172,0.25
173,0.15
174,0.425
175,0.1
176,0.425
177,0.4
178,0.1
179,0.125
180,0.625
181,0.475
182,0.125
183,0.675
184,0.25
185,0.65
186,0.35
187,0.1
188,0.15
189,0.1
190,0.225
191,0.25
192,0.2
193,0.075
194,0.475
195,0.5
196,0.475
197,0.425
198,0.15
199,0.0
200,0.125
201,0.65
202,0.2
203,0.525
204,0.325
205,0.375
206,0.15
207,0.525
208,0.275
209,0.225
210,0.425
211,0.55
212,0.3
213,0.25
214,0.325
215,0.7
216,0.8
217,0.725
218,0.275
219,0.35
220,0.25
221,0.175
222,0.2
223,0.25
224,0.325
225,0.25
226,0.025
227,0.15
228,0.325
229,0.175
230,0.175
231,0.4
232,0.225
233,0.1
234,0.475
235,0.1
236,0.175
237,0.125
238,0.125
239,0.675
240,0.1
241,0.15
242,0.15
243,0.55
244,0.575
245,0.15
246,0.1
247,0.575
248,0.125
249,0.05
250,0.1
251,0.15
252,0.075
253,0.15
254,0.15
255,0.05
256,0.625
257,0.15
258,0.3
259,0.55
260,0.45
261,0.0
262,0.15
263,0.4
264,0.4
265,0.3
266,0.45
267,0.075
268,0.075
269,0.5
270,0.075
271,0.05
272,0.25
273,0.9
274,0.425
275,0.55
276,0.375
277,0.175
278,0.225
279,0.175
280,0.125
281,0.475
282,0.4
283,0.15
284,0.3
285,0.475
286,0.725
287,0.15
288,0.225
289,0.2
290,0.35
291,0.425
292,0.125
293,0.175
294,0.2
295,0.2
296,0.4
297,0.2
298,0.3
299,0.7
300,0.175
301,0.075
302,0.075
303,0.1
304,0.725
305,0.125
306,0.05
307,0.4
308,0.15
309,0.375
310,0.1
311,0.2
312,0.35
313,0.4
314,0.225
315,0.3
316,0.475
317,0.5
318,0.1
319,0.15
320,0.325
321,0.425
322,0.225
323,0.1
324,0.4
325,0.7
326,0.175
327,0.525
328,0.325
329,0.475
330,0.275
331,0.225
332,0.3
333,0.2
334,0.15
335,0.225
336,0.225
337,0.375
338,0.2
339,0.225
340,0.5
341,0.275
342,0.5
343,0.025
344,0.725
345,0.325
346,0.225
347,0.2
348,0.125
349,0.1
350,0.25
351,0.075
352,0.075
353,0.225
354,0.375
355,0.075
356,0.525
357,0.25
358,0.125
359,0.175
360,0.525
361,0.075
362,0.2
363,0.225
364,0.425
365,0.725
366,0.225
367,0.25
368,0.25
369,0.15
370,0.45
371,0.2
372,0.125
373,0.075
374,0.725
375,0.4
376,0.075
377,0.5
378,0.4
379,0.475
380,0.0
381,0.7
382,0.2
383,0.075
384,0.025
385,0.55
386,0.675
387,0.9
388,0.525
389,0.275
390,0.45
391,0.1
392,0.025
393,0.475
394,0.275
395,0.05
396,0.15
397,0.5
398,0.125
399,0.05
400,0.225
401,0.125
402,0.025
403,0.15
404,0.35
405,0.6
406,0.05
407,0.175
408,0.475
409,0.175
410,0.2
411,0.2
412,0.05
413,0.2
414,0.175
415,0.225
416,0.0
417,0.675
418,0.325
419,0.175
420,0.15
421,0.4
422,0.45
423,0.15
424,0.125
425,0.375
426,0.075
427,0.1
428,0.225
429,0.3
430,0.2
431,0.175
432,0.025
433,0.125
434,0.1
435,0.375
436,0.1
437,0.25
438,0.05
439,0.05
440,0.025
441,0.25
442,0.275
443,0.025
444,0.075
445,0.225
446,0.125
447,0.075
448,0.4
449,0.1
450,0.25
451,0.05
452,0.175
453,0.8
454,0.175
455,0.25
456,0.1
457,0.45
458,0.525
459,0.4
460,0.275
461,0.1
462,0.2
463,0.625
464,0.45
465,0.675
466,0.375
467,0.85
468,0.375
469,0.2
470,0.125
